section,object,property,before,after,delta
stage,5__Diesel SS,temperature_C,212.36369815541303,212.36417531621845,0.00047716080541704287
stage,5__Diesel SS,liquid_kg_h,28509.52031951707,28514.57511194686,5.0547924297898135
stage,5__Diesel SS,vapor_kg_h,3519.8669964145206,3519.9666029598707,0.09960654535007052
stage,4__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,4__Diesel SS,temperature_C,211.14763571124922,211.14847399834332,0.0008382870940977227
stage,4__Diesel SS,liquid_kg_h,28208.14850758376,28213.23514597933,5.086638395572663
stage,4__Diesel SS,vapor_kg_h,3229.4592801090753,3229.60884008632,0.1495599772447349
stage,3__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,3__Diesel SS,temperature_C,209.5581531686904,209.5593576877148,0.0012045190243838988
stage,3__Diesel SS,liquid_kg_h,27823.340256994314,27828.43673171029,5.09647471597782
stage,3__Diesel SS,vapor_kg_h,2928.087468175783,2928.2688741187835,0.18140594300029989
stage,2__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,2__Diesel SS,temperature_C,206.98539360404624,206.98701864810704,0.0016250440608018835
stage,2__Diesel SS,liquid_kg_h,27216.372406419458,27221.439347456148,5.066941036689968
stage,2__Diesel SS,vapor_kg_h,2543.2792175863356,2543.4704598497524,0.19124226341682515
stage,1__Diesel SS,pressure_kPa,165.29411764705895,165.29411764705895,0.0
stage,1__Diesel SS,temperature_C,201.14723870707508,201.1494289614513,0.0021902543762166715
stage,1__Diesel SS,liquid_kg_h,25580.06103940799,25584.96627186053,4.905232452540076
stage,1__Diesel SS,vapor_kg_h,1936.3113670114594,1936.4730755956114,0.16170858415193834
stage,6__AGO SS,pressure_kPa,171.17647058823547,171.17647058823547,0.0
stage,6__AGO SS,temperature_C,296.67607707974037,296.67517922923776,-0.0008978505026107086
stage,6__AGO SS,liquid_kg_h,67281.76975876845,67268.45958892522,-13.310169843229232
